"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","hgnc_symbol"
"ENSG00000166535",96.6388451535561,0.336745821407242,0.309739976525329,1.08718876131155,0.276953396636228,0.565933298698696,"ENSG00000166535","A2ML1"
"ENSG00000128274",7.41205771545602,0.183674122283883,0.270321747427556,0.679464837852552,0.496843379635941,0.737989753686781,"ENSG00000128274","A4GALT"
"ENSG00000094914",174.969938951563,-0.0137691719894987,0.129660366049389,-0.10619414713247,0.915428314601177,0.967311018368919,"ENSG00000094914","AAAS"
"ENSG00000081760",103.767633845269,-0.0463533721790939,0.101411584854586,-0.457081626774296,0.647612375837697,0.834409807212589,"ENSG00000081760","AACS"
"ENSG00000114771",16.3531232450894,-0.433954692554628,0.517440356555008,-0.838656450076281,0.401662123352419,0.666928443692893,"ENSG00000114771","AADAC"
"ENSG00000109576",32.533981801096,0.252618905481674,0.197566304358119,1.27865379829024,0.201018996134544,0.481293199072106,"ENSG00000109576","AADAT"
"ENSG00000103591",136.885851012331,0.0565637008381004,0.0870206375008807,0.650003291891856,0.515690095233843,0.75066301518407,"ENSG00000103591","AAGAB"
"ENSG00000115977",961.128160738191,0.0497113076470299,0.124123396970947,0.400499090906007,0.688788952929429,0.857728021022242,"ENSG00000115977","AAK1"
"ENSG00000087884",45.2586329433385,0.274907052278359,0.137967881293972,1.99254384208892,0.0463114198275645,0.222524977349164,"ENSG00000087884","AAMDC"
"ENSG00000127837",613.338333703627,0.0840617302020318,0.056464225354036,1.48876088664915,0.136550345375233,0.396472262856003,"ENSG00000127837","AAMP"
"ENSG00000129673",12.801215283619,0.174038570499429,0.25401245781984,0.68515761783175,0.493244464958668,0.735458098119233,"ENSG00000129673","AANAT"
"ENSG00000131043",173.678840636512,0.125020501698886,0.0720230178389088,1.73584092211346,0.0825919661392464,0.302301620647736,"ENSG00000131043","AAR2"
"ENSG00000205002",35.5120514617939,-0.361379497246565,0.282643145644482,-1.27857159395304,0.2010479583336,0.481293199072106,"ENSG00000205002","AARD"
"ENSG00000124608",123.774853641453,-0.0708905641215645,0.116059428856598,-0.610812622636256,0.541323635928891,0.767710984044573,"ENSG00000124608","AARS2"
"ENSG00000266967",568.004748930893,0.0123676297377451,0.0638462975498394,0.193709427364849,0.846403409696387,0.936761799891188,"ENSG00000266967","AARSD1"
"ENSG00000157426",44.6661744707176,0.178689513342618,0.120059859681197,1.48833684977731,0.136662081515715,0.396472262856003,"ENSG00000157426","AASDH"
"ENSG00000149313",200.39515760628,0.0463585081684023,0.0691816012178659,0.67009880303884,0.502794807879653,0.741382708048542,"ENSG00000149313","AASDHPPT"
"ENSG00000008311",10.7762026154619,0.299453977666575,0.18460231415572,1.62215722503876,0.104769687895271,0.344339623208716,"ENSG00000008311","AASS"
"ENSG00000275700",163.30844017017,-0.183902890826752,0.122472756864519,-1.50158202962793,0.133205087215004,0.390975925261702,"ENSG00000275700","AATF"
"ENSG00000181409",1792.51961937032,0.181845363860764,0.100258695495975,1.81376151924962,0.0697144492163793,0.275703687914296,"ENSG00000181409","AATK"
"ENSG00000183044",1360.79496597651,0.323077436800084,0.135424619644846,2.38566250100877,0.0170483886228764,0.129971048748595,"ENSG00000183044","ABAT"
"ENSG00000165029",303.612538745217,0.471208989416499,0.116602226594517,4.04116630684183,5.31860221458453e-05,0.00548503840604464,"ENSG00000165029","ABCA1"
"ENSG00000107331",3446.53592589999,0.0340183925414647,0.130405796538244,0.260865647421494,0.794196117188734,0.911923868169027,"ENSG00000107331","ABCA2"
"ENSG00000167972",731.411242278599,0.159750332099833,0.0847153736050306,1.8857301254981,0.0593313311301579,0.252965598572377,"ENSG00000167972","ABCA3"
"ENSG00000154265",217.067909872752,-0.00419387621259953,0.111258278140337,-0.0376949588174421,0.969930895422868,0.98954817230687,"ENSG00000154265","ABCA5"
"ENSG00000154262",30.3497101784415,0.195241850850012,0.17733320394902,1.10098868402637,0.270901582187528,0.560331603221593,"ENSG00000154262","ABCA6"
"ENSG00000064687",137.268369008518,-0.0248622528177666,0.103563729749327,-0.240067182573907,0.81027817486054,0.920017437366636,"ENSG00000064687","ABCA7"
"ENSG00000154258",29.3382388620898,0.134151801252435,0.174428167246572,0.769094827802652,0.441837018426065,0.697249000209063,"ENSG00000154258","ABCA9"
"ENSG00000085563",190.326305603502,0.101585019783938,0.0776862058168831,1.30763265776408,0.190997934483202,0.4708236133836,"ENSG00000085563","ABCB1"
"ENSG00000135776",130.402313720109,0.144277418238594,0.0951290597239658,1.51664926214178,0.129355260770226,0.385978919324206,"ENSG00000135776","ABCB10"
"ENSG00000073734",26.0565604534267,0.182762951529624,0.49371682801964,0.370177683152323,0.711250103631838,0.871361603393446,"ENSG00000073734","ABCB11"
"ENSG00000005471",105.323414480799,0.274733872106173,0.129490820840343,2.1216474675445,0.0338673531139694,0.187593385607846,"ENSG00000005471","ABCB4"
"ENSG00000115657",286.607100687293,0.264213752545683,0.105461447083195,2.50531127585661,0.012234366954721,0.108126725121988,"ENSG00000115657","ABCB6"
"ENSG00000131269",186.042015820659,0.0201812611965206,0.0566539605646208,0.356219776965132,0.721675982221329,0.876895066657964,"ENSG00000131269","ABCB7"
"ENSG00000150967",218.36947029347,0.217608927093648,0.100357165787298,2.16834468556894,0.0301324709127349,0.176886197694721,"ENSG00000150967","ABCB9"
"ENSG00000103222",322.433983961685,0.122253700436906,0.077629354927407,1.5748385459499,0.115293716608174,0.364008875170852,"ENSG00000103222","ABCC1"
"ENSG00000124574",266.72275919437,-0.127739473331806,0.0985231454972211,-1.29654278380109,0.194788550074494,0.474044903899827,"ENSG00000124574","ABCC10"
"ENSG00000140798",19.9484649586631,-1.51181190084604,0.426865055244192,-3.54166236442379,0.000397614066677699,0.0160101050519033,"ENSG00000140798","ABCC12"
"ENSG00000023839",16.6732354183897,0.0705113831335723,0.410441112484224,0.171794152653951,0.863599362687654,0.944732990452584,"ENSG00000023839","ABCC2"
"ENSG00000108846",17.3254851035876,-0.437781778951391,0.228074511927844,-1.91946822663767,0.0549251036606581,0.242774163918693,"ENSG00000108846","ABCC3"
"ENSG00000125257",64.142776031538,0.184198618572065,0.119997202841512,1.53502426898524,0.124777866808885,0.38032365326367,"ENSG00000125257","ABCC4"
"ENSG00000114770",1148.29121499501,0.121230249953536,0.065197777853273,1.85942303472925,0.0629671992737428,0.261272722481265,"ENSG00000114770","ABCC5"
"ENSG00000091262",106.707194378606,0.408607545005989,0.238920373930146,1.71022478445248,0.087224314284779,0.311198406179019,"ENSG00000091262","ABCC6"
"ENSG00000006071",560.67355398175,-0.275724561036745,0.197709459647564,-1.3945946821576,0.163138099620763,0.435596467353667,"ENSG00000006071","ABCC8"
"ENSG00000069431",17.6580819735781,-0.104443545382563,0.177065839232539,-0.589857116625405,0.555286446330744,0.777717913528638,"ENSG00000069431","ABCC9"
"ENSG00000101986",97.9270177018811,0.287824172029378,0.0926733783967932,3.10579129636368,0.00189770603222164,0.0404041182478458,"ENSG00000101986","ABCD1"
"ENSG00000173208",200.441801074652,-0.0159653759347299,0.0956142931862297,-0.166976875555979,0.8673882440974,0.946611828818037,"ENSG00000173208","ABCD2"
"ENSG00000117528",293.262273444938,0.0302119719318714,0.052230555594055,0.578434818244787,0.562970592395874,0.783314386408684,"ENSG00000117528","ABCD3"
"ENSG00000119688",167.055810057481,0.0253810514391046,0.0718616770890522,0.353193140867725,0.723943649747248,0.87797860477757,"ENSG00000119688","ABCD4"
"ENSG00000164163",1658.16525427855,-0.123649703601632,0.0468972384473408,-2.63660948267718,0.00837391728339179,0.0906428603652638,"ENSG00000164163","ABCE1"
"ENSG00000204574",679.666016885392,-0.0215903058095989,0.0597275253696673,-0.36147999897822,0.717740654132306,0.875012870269611,"ENSG00000204574","ABCF1"
"ENSG00000033050",452.742059064145,0.047850290522527,0.0717022536636907,0.667347092700351,0.504550452232344,0.742941372030596,"ENSG00000033050","ABCF2"
"ENSG00000161204",832.370872243639,0.0396591827795246,0.0616058296347825,0.643756979081946,0.519733034976156,0.752555618118934,"ENSG00000161204","ABCF3"
"ENSG00000160179",404.368075328728,0.0115397959764574,0.102415696522558,0.112676048382054,0.910287390922072,0.965837020531051,"ENSG00000160179","ABCG1"
"ENSG00000118777",45.9093310307979,-0.331873777394206,0.146002872615201,-2.27306334080754,0.0230223631794115,0.152552253455338,"ENSG00000118777","ABCG2"
"ENSG00000172350",368.628185206926,0.0836592413020535,0.0817906303120957,1.02284627203419,0.306380536072391,0.591263934879156,"ENSG00000172350","ABCG4"
"ENSG00000143994",157.534697965643,-0.104629030883206,0.0839868623891168,-1.24577854091576,0.212845709854887,0.495139801160786,"ENSG00000143994","ABHD1"
"ENSG00000144827",99.148561232575,-0.220477429321446,0.105170771761107,-2.09637550081173,0.0360488939295893,0.193789378403294,"ENSG00000144827","ABHD10"
"ENSG00000106077",42.3672563955528,-0.0834132009732046,0.104291084899045,-0.799811422557834,0.423820063992116,0.683187022441251,"ENSG00000106077","ABHD11"
"ENSG00000100997",835.940544367101,0.0129504755857914,0.0756138819905573,0.171271137585671,0.864010573984656,0.944937045455209,"ENSG00000100997","ABHD12"
"ENSG00000139826",109.903084113063,-0.00962657967317755,0.0869210645929718,-0.110750825685997,0.911813940782891,0.966509509153615,"ENSG00000139826","ABHD13"
"ENSG00000248487",187.007176076491,-0.00562219463850402,0.118334742246673,-0.047510938307402,0.962106012673053,0.986511651632516,"ENSG00000248487","ABHD14A"
"ENSG00000114779",46.921394485674,-0.103077143943724,0.191299040139622,-0.538827292957099,0.590006029370006,0.800261127305773,"ENSG00000114779","ABHD14B"
