"","MEpink","MEyellow","MEbrown","MEblue","MEred","MEmagenta","MEblack","MEturquoise","MEtan","MEgreen","MEsalmon","MEgreenyellow","MEcyan","MEpurple"
"X1015_F_liv_lowfat",-0.120454689871954,-0.291348114510135,0.0087237077047016,-0.0154682827640666,-0.0576387195786285,-0.497666789956951,-0.146300440061652,-0.128049821223338,-0.266114610962989,-0.0684778942636536,0.0657119409269782,0.168977291751629,0.511625390138864,0.351011365508491
"X1001_F_liv_lowfat",-0.0813709624936234,0.0985044151271443,-0.119624874456103,0.0957381113832674,0.115889606400815,0.184639183386888,0.379369742766062,0.356259916940989,-0.0246199377319972,-0.189770966164235,-0.127867620830732,-0.0126523137884593,-0.193842523483084,-0.162081734516339
"X1060_F_liv_lowfat",0.155139137071522,-0.0185307299445794,0.0987880564640433,0.0734388439981065,0.110793735647339,-0.0220884634347058,-0.169372582485829,-0.0329425114848494,-0.266173207153143,-0.101005759272188,-0.147163636252092,-0.18093693452923,0.0530160213538165,0.0850019846218315
"X1023_F_liv_lowfat",-0.0657472258730958,-0.00579314799953443,0.083219102839224,0.0765211728687471,0.114518453008731,0.0913788495061194,0.206611527221369,0.298167029092128,0.03348656529209,-0.0252457899131848,-0.0949587448540194,-0.0783290542269374,-0.093108404132592,-0.111098979698669
"X1040_F_liv_lowfat",0.211078576259173,-0.143495543577585,0.25359299279383,0.0793631018352253,0.134118518396784,0.0531661749984212,0.0386389803096329,0.0314358024549676,-0.166642104671273,-0.158578688302032,-0.153584480313026,0.0366302803287725,0.00855482609191138,-0.0100685924345156
"X1014_F_liv_lowfat",-0.0290966445897409,-0.0101514416860842,0.271524875889625,0.11639964803729,0.147368627576822,0.293485488019946,0.17445090879193,0.17224252233073,0.00488050472483492,-0.134289810595161,-0.125886253964365,0.0804201617488962,-0.187741123546303,-0.143429719391695
"X1041_F_liv_lowfat",-0.110841015834765,0.219271776759055,0.0184331978158945,0.110088739761037,0.0854215251552103,0.26141618721446,0.334684758294165,0.158892097915712,0.084146140095149,-0.0833845916819834,-0.0556860791129002,-0.15337763634909,-0.182859705354012,-0.120637259954215
"X1080_F_liv_lowfat",-0.0779659763226374,0.0448713527162722,-0.149929495487663,0.104863759696616,0.0616510597605381,0.144306087119022,-0.0850715351725918,-0.248347298011475,0.0468512211996253,0.137669112169338,-0.0790809086115788,-0.342685770573971,-0.0907607639462038,-0.219440994763429
"X1009_M_liv_lowfat",-0.064622124732159,-0.107819338032325,-0.0635473012221554,-0.0748260762343093,-0.0254816997724746,-0.00806605779878044,0.259378897139328,0.367961582851611,0.0927411730116048,0.0753792666042117,0.010256211768798,-0.0311404819572001,-0.0529651371629093,-0.111375394786582
"X102_M_liv_lowfat",-0.14608670286801,-0.0976312274066487,-0.0253896119538648,-0.161442604201894,-0.110046615400258,0.0698655375124255,-0.131659164759446,-0.0891338095449675,-0.0979628316705013,0.124841702309019,0.15440960411662,-0.0965233693610409,-0.122303236005845,-0.134319921762735
"X1069_M_liv_lowfat",-0.122531566178269,-0.182871376050146,-0.0548767632947028,-0.121445320565753,-0.133774178430402,-0.138053440848272,0.0287796084201529,0.28404164843007,-0.0253671345053849,0.0982801772181076,0.179449969449282,0.143301637555421,0.00134484964245458,-0.136671230620771
"X1068_M_liv_lowfat",0.619148631024474,-0.179066750190003,0.143393085661895,-0.165276574380886,-0.121738199700684,-0.2900707286454,-0.0762069055543772,0.206519574183051,0.00538265822966783,0.116614871498392,0.197858892970692,0.203657679084274,0.113611297164691,-0.199828509353354
"X1067_M_liv_lowfat",-0.0281398831847385,-0.0476369741625741,0.0279505242206747,-0.166630788420714,-0.162683544895017,0.174380212142678,-0.277747368584685,-0.10730156832803,5.71160451292366e-05,0.0801923437543241,0.17570235928868,-0.0226707178678213,-0.1843550335271,-0.15723400918761
"X1052_M_liv_lowfat",-0.303412496826514,-0.100251969375504,0.0123598735565538,-0.13336401712013,-0.207311778726674,-0.0960411420141566,-0.114193205505162,-0.203814011388297,0.118993840345015,0.224183476112641,0.209355709194487,0.0498405615227641,0.21078798892396,0.510002299653244
"X5_M_liv_lowfat",-0.184786392923695,-0.0399245103416312,-0.126870823177993,-0.132058271407651,-0.160549919901718,0.0896521832547083,0.0787619692762396,0.0374769547032401,-0.229178086806302,0.188110475331545,0.11035972953743,-0.0164405939359349,-0.0978984575994264,0.0729240671934849
"X1054_M_liv_lowfat",-0.0705182839785125,0.0317044825789292,-0.27406438609758,-0.130969479546354,-0.150403246907791,0.0831268991534004,0.259252745141353,-0.0230746558048037,0.0415687467545823,-0.0152472566011192,0.156299309542568,-0.446937292281173,-0.13621191416519,-0.08740806875541
"X1045_M_liv_lowfat",0.160030802515537,-0.162758628732348,-0.207154424119981,-0.486511214952496,-0.45679471399491,0.0186951837865717,0.0578799532607627,-0.00217657326366289,0.37293621462203,0.130537355366582,0.431970679246222,0.00425909151511617,-0.146857985301385,0.130570388760078
"X1065_M_liv_lowfat",0.0740426581357225,-0.105579915805042,0.116853934262111,-0.135137196980861,-0.129153439311101,0.116049739241098,-0.153622238529601,-0.0414389827305085,0.173653318559788,0.0712737866615751,0.183626324299784,0.0622594848947738,-0.151427357747176,0.0765221873784578
"X67_F_liv_standard",0.111347061181429,-0.227350079111588,-0.00254879173672682,0.0292060049749692,-0.0287395928475727,-0.11400156908056,0.0795939620520902,0.0949004995370748,0.0295922327183711,0.261424663379879,-0.0097287969258999,0.0484225605689565,0.127866135170699,0.0765785566101451
"X62_F_liv_standard",-0.0530277799311524,-0.143612489127856,0.303953177177085,0.108517598201974,0.128726158845454,-0.247791417888088,-0.254198533352162,-0.105395270776883,-0.272971017807842,0.00505107622029842,-0.0879625596510715,0.274306524132523,0.37682682768245,0.155185171945539
"X57_F_liv_standard",0.30526243349506,-0.136015069885788,0.0380663255951941,0.131517849263078,0.123469655265257,0.147803226517475,-0.120125079743325,-0.240102073512263,-0.0867137441660761,0.104041423215769,-0.145115734454906,-0.324852045145379,-0.129693544758826,-0.234018749979454
"X33_F_liv_standard",0.0141888947340603,-0.272180565283615,-0.434031280519551,-0.496805364029624,-0.446278150236874,-0.193056210021791,-0.129792867193285,-0.283687628789456,0.289244140987265,0.274342150461074,0.323216713646821,-0.00629569563247231,0.100984893194688,0.190712627558958
