"","MEbrown","MEgreen","MEsalmon","MEred","MElightcyan","MEtan","MEyellow","MEpurple","MEpink","MEmidnightblue","MEturquoise","MEmagenta","MEcyan","MEgreenyellow","MEblack","MEblue"
"X1015_F_kid_lowfat",0.0622069959412798,-0.186093605729907,-0.221152735062282,-0.104171419893783,0.030992957305263,-0.115929444744268,0.35096114266203,-0.0625869728605908,-0.0647422767621826,-0.07428146837815,0.087943944682221,0.114666348639338,-0.0418288962757092,-0.0611773056022531,0.194151273360097,0.123066655107948
"X1060_F_kid_lowfat",0.172915225261064,-0.0811674527573827,-0.092935499692284,-0.123308660947688,0.103258774898,0.0862532467174224,-0.0781745841495739,-0.145255591125683,-0.0642022511456802,-0.140671473136648,-0.104898280272073,0.0767369240077229,0.0848954984791105,-0.0956374040819027,0.00386296922577301,-0.0256228112815963
"X1023_F_kid_lowfat",0.0932093114968664,0.110512701473051,0.0367956644019624,0.0799166840486258,0.0692251828448294,0.131394249170012,0.106896211475937,-0.0499042384750061,-0.103889918199982,-0.0592805232453558,-0.18270600885584,-0.084599050996974,0.260041488055535,-0.0889491519016907,-0.0963094867543901,-0.106477456556461
"X1040_F_kid_lowfat",0.2183320693647,-0.19675045336307,-0.101677767887222,-0.0943114288843147,0.0720059952399378,-0.0301722424424202,0.154590730288542,-0.101758681408297,-0.111899110543158,-0.111945484682499,-0.017835598052954,0.0773597202379773,0.171079203086412,0.543122426256289,0.057958258548577,0.191189595069414
"X1014_F_kid_lowfat",0.104171526489874,-0.164503730772385,-0.115491993065575,-0.0109100333153256,0.11386562836165,-0.0144796763734635,0.199130364994839,-0.133473709012646,-0.114476871646584,-0.17845761531432,-0.0880416275950883,0.00387835781881192,-0.0287251477844502,-0.0641879785133156,0.141134974858172,0.134408186831996
"X1041_F_kid_lowfat",-0.133565928305309,-0.017238290315167,-0.0842221864955434,0.207720222801035,0.130447928098237,0.0372317211724727,-0.0266319464036307,-0.102384968649893,-0.0181714525028043,-0.098825085958884,-0.0774228650323572,-0.15953781678325,-0.0899547995541729,0.0335437119434787,0.0940294096131138,-0.0346170947217211
"X1083_F_kid_lowfat",0.276082343459479,0.198768670974878,0.00722563606255247,-0.118984272077342,0.0514285769807632,0.233827236377392,0.211236663944608,-0.00384100817524311,-0.0393834629914469,-0.0378465749587231,-0.206417130128642,0.129648368428735,-0.46221560943462,-0.132416423565603,-0.308768789054499,-0.261613932213163
"X1080_F_kid_lowfat",0.0351302084849743,0.0236547094493558,-0.113575075557322,-0.0539766965361793,0.0209483478037804,-0.00793977643923667,-0.183657481167563,0.179236363041865,-0.151324896953462,-0.0359842247934349,0.0191029889709679,0.0355765074039985,0.107662804375608,-0.0892362344069195,0.0205482737102526,-0.00428387791963196
"X1079_M_kid_lowfat",-0.0678681753662997,0.127998431808544,0.0406458160468488,-0.197929168884773,0.0236790632082386,0.112032059692821,0.0933652694044121,0.0949726840169609,-0.11184078652909,-0.000527175649064146,-0.0496332939629659,0.220405923910892,0.0225153418973112,-0.0902628754128862,-0.10461793738012,0.0172431095440819
"X1009_M_kid_lowfat",0.0642652816865938,0.113760997991872,-0.0773381766480856,0.0121328250604148,-0.120697404085881,-0.027648659647456,0.0870550679830948,0.127083776919863,-0.00584974721434789,0.0546929969112213,-0.0129347097633045,-0.00803295510872286,-0.13934768780142,-0.0885584314759817,-0.0668677987030193,-0.177377141680752
"X102_M_kid_lowfat",-0.195978894308137,-0.024932654659016,-0.158554821201691,-0.168237265537785,-0.488843775183841,-0.429633668615522,0.222812387346757,0.308641586749758,0.446445723391165,0.428127849902191,0.405489714189871,0.00522404563763878,-0.189759565259987,-0.077951676400216,0.140801276625444,-0.122262504145555
"X1069_M_kid_lowfat",-0.242484591032383,-0.0294512957372382,-0.0429410874666477,-0.111892094925724,-0.198689946360782,-0.20215491196643,0.384938618022664,0.0961679371481795,0.173719526637347,0.238706824784798,0.231608363851503,0.0396478866184679,-0.0376896247941688,-0.078786777282048,0.126869595535967,0.165973840771436
"X1067_M_kid_lowfat",-0.0762178044700709,-0.0662714340591815,-0.0819960224005838,-0.0392958423584426,-0.252546503628604,-0.257326634853103,0.0869895377750777,0.164956954133643,0.331234500484298,0.270205765069959,0.290059611953052,-0.0796911750365437,-0.0502367918696183,-0.0559925608578701,0.0897557951312717,0.0182139185268269
"X1052_M_kid_lowfat",-0.140234026490809,0.154558608882627,0.176126494852146,0.0593593637179416,0.0947171998040735,0.118784286193108,-0.24892723894233,0.179527889355142,-0.212623725899378,-0.0542325908758963,-0.115016155354478,0.0536590669040836,0.104465681373508,-0.103459076646788,-0.0598236020395799,0.0483230664455954
"X5_M_kid_lowfat",0.136504352154122,-0.197546665106161,0.0596261849413845,-0.0940515332673573,-0.314774741259677,-0.342831078949201,0.0129218456010245,0.144620903350501,0.347972742683825,0.217693925977862,0.243011512161549,0.0162597066040047,0.219163494535385,0.0078514422446719,0.0990873048866671,0.158808831015183
"X1054_M_kid_lowfat",-0.149535547176052,-0.140562946014059,-0.26481987005703,0.0385108810484741,-0.259569445409028,-0.332153255328586,0.0053924171089083,0.0432664743260423,0.427593390765514,0.233809566011743,0.276559543468931,-0.051035892955026,-0.18079870686851,0.0128022985170886,0.21874608502499,-0.0835593462858382
