"","MEgreenyellow","MEbrown","MEturquoise","MEcyan","MEgreen","MEpink","MEpurple","MEred","MEblue","MEyellow","MEmagenta","MEsalmon","MEtan","MEblack","MEmidnightblue"
"X1015_F_hyp_lowfat",-0.150373661833011,-0.00423014052898597,0.0937324255875705,0.235847013755691,0.182132594052791,0.0647637275714776,-0.0409851806755218,-0.0489062784931681,-0.192723266267354,-0.018137218671698,-0.0256208779509182,-0.123877798685389,-0.123915946164151,-0.0875306355110915,-0.0835334920421092
"X1001_F_hyp_lowfat",-0.0323714839963638,-0.047989027619232,-0.00538962820113353,0.0373035614264187,0.0612980164673568,0.0491740912952827,0.0371175577800759,-0.137677915594193,0.00997076310424805,-0.0139700437577418,-0.0976150209171415,-0.0601380102318589,0.0132550101379194,-0.0300237805974568,-0.038183950741625
"X1060_F_hyp_lowfat",0.187094042718136,0.151246724590368,0.0686720541407962,-0.117846329555362,-0.118620269489637,0.0746140303397888,-0.0100491176099325,0.0697763489739483,0.0866863453982798,-0.0446102608806246,-0.0986736733033846,-0.0648474899622897,-0.130579262464351,-0.0915190100590798,-0.106392452921492
"X1023_F_hyp_lowfat",0.108735672122394,-0.026599834761962,0.0775362981257738,-0.116509738174955,-0.00526886250492357,0.240112640776797,0.119942849626734,-0.109376474221052,0.135800105909234,0.00928981568166786,-0.0443348306973958,0.142559472822025,0.0566023228017671,-0.0422676063691021,-0.111565497255564
"X1040_F_hyp_lowfat",-0.117630750966658,0.00429574747277946,0.119309131034774,0.162510281881225,0.195705126769101,0.0749788808944007,0.00799688985853836,-0.176439908578403,-0.186086137976675,-0.119378368925106,-0.081812457132225,-0.0578784978734538,0.220747389900122,-0.088316546098347,-0.0861586698705839
"X1014_F_hyp_lowfat",0.464239089075092,0.586047037532965,0.346645825021998,-0.0616315677549337,-0.438126743488351,-0.101656360760874,-0.569479402871641,-0.214801320340631,-0.133752041122844,-0.248863546286475,-0.111612427722684,-0.10166300066471,-0.115318869950575,-0.331943718619063,-0.0626846686743611
"X1041_F_hyp_lowfat",-0.166679841590792,0.0173336248910125,0.0861440981981591,0.223283345858367,0.179815545660392,0.0245521696495691,-0.0154547619430044,-0.125103093194783,-0.214411600633578,-0.135734763807549,-0.0504970580813405,0.142853770315002,-0.094755543429225,-0.121046130845858,-0.0171844366478761
"X1083_F_hyp_lowfat",-0.135801656103404,0.0106108105272614,0.163571042124081,0.201877599789889,0.214478847835587,0.143128278167627,0.021343963651835,-0.189209990722086,-0.187431455065474,-0.122360326578118,-0.113162541873988,-0.122625190545065,0.0589223268160023,-0.132465815628362,-0.140438136171626
"X1080_F_hyp_lowfat",0.403529873864541,0.481509165410927,0.274462274421615,-0.0711981659976313,-0.373953779455246,-0.0713143885411531,-0.441095656830644,-0.023989033870232,-0.0776871128362261,-0.173883172829594,-0.0989393317775684,-0.0892838238129121,0.0506014318983378,-0.241948895555814,-0.0990062500198156
"X1009_M_hyp_lowfat",0.0778314671366354,-0.136971789169583,-0.0694111557810248,-0.18390968451601,-0.0636242487830219,0.143963362683889,0.129639648607761,-0.0174041244871675,0.249359296319019,0.00607372382605657,-0.111354431010064,-0.0465547363954463,-0.0835702015418552,0.130281187923816,-0.0300316721553975
"X102_M_hyp_lowfat",0.0413640582083453,-0.136837632187691,-0.581085063735187,-0.275280516132458,-0.239886628647247,-0.474685444920038,-0.111820731277803,-0.225571659657529,0.21912473209544,-0.146319912018458,-0.0580789183176815,0.0939562722997072,0.668820696050356,0.685543818555118,0.544061073150905
